source,Teff,logg,logL,Mass,Mass_std,R_Rsun,n_points,filename
PHOENIX,7400,2.5,3.002000093460083,4.611000061035156,1.3068215163063919,19.27599791939324,346,atlas-or-phoenix-074-25.txt
PHOENIX,7400,3.0,2.4230000972747803,3.2119998931884766,0.7891081573573767,9.897303148722411,346,atlas-or-phoenix-074-30.txt
PHOENIX,7400,3.5,1.9019999504089355,3.1989998817443848,0.47337994246961856,5.432713457176842,346,atlas-or-phoenix-074-35.txt
PHOENIX,7400,4.0,1.1030000448226929,1.6929999589920044,0.36452568750638326,2.165293870179881,346,atlas-or-phoenix-074-40.txt
PHOENIX,7400,4.5,0.7739999890327454,1.5499999523162842,0.26919005968121673,1.482575498425921,346,atlas-or-phoenix-074-45.txt
PHOENIX,7600,2.0,3.7920000553131104,7.710000038146973,1.8712366581577156,45.378810385187194,346,atlas-or-phoenix-076-20.txt
PHOENIX,7600,2.5,3.1610000133514404,5.074999809265137,1.3952439703178,21.945884317935466,346,atlas-or-phoenix-076-25.txt
PHOENIX,7600,3.0,2.4230000972747803,3.2119998931884766,0.8171269664590333,9.383246544737522,346,atlas-or-phoenix-076-30.txt
PHOENIX,7600,3.5,1.9220000505447388,3.2109999656677246,0.4795064234180517,5.270515613025914,346,atlas-or-phoenix-076-35.txt
PHOENIX,7600,4.0,1.1759999990463257,1.7690000534057617,0.3798651812106953,2.2328167345295884,346,atlas-or-phoenix-076-40.txt
PHOENIX,7600,4.5,0.7739999890327454,1.5499999523162842,0.2750383001196697,1.4055719233691728,346,atlas-or-phoenix-076-45.txt
PHOENIX,7800,2.0,3.796999931335449,7.710000038146973,1.8776635347849573,43.33023293967247,346,atlas-or-phoenix-078-20.txt
PHOENIX,7800,2.5,3.1679999828338623,5.074999809265137,1.4786565474538391,21.003469938177673,346,atlas-or-phoenix-078-25.txt
PHOENIX,7800,3.0,2.428999900817871,3.2119998931884766,0.8316144434325508,8.969970370959494,346,atlas-or-phoenix-078-30.txt
PHOENIX,7800,3.5,1.8550000190734863,2.4579999446868896,0.4813254075563058,4.632240162113625,346,atlas-or-phoenix-078-35.txt
PHOENIX,7800,4.0,1.2309999465942383,1.8209999799728394,0.3915096723005381,2.258348863584003,346,atlas-or-phoenix-078-40.txt
PHOENIX,7800,4.5,0.8500000238418579,1.6139999628067017,0.2725019575775673,1.456434875864056,346,atlas-or-phoenix-078-45.txt
PHOENIX,8000,2.0,3.864000082015991,7.053999900817871,1.9796957538018416,44.49388525835195,346,atlas-or-phoenix-080-20.txt
PHOENIX,8000,2.5,3.174999952316284,5.074999809265137,1.4968118354742206,20.127983403044293,346,atlas-or-phoenix-080-25.txt
PHOENIX,8000,3.0,2.5810000896453857,3.50600004196167,0.9026518365677413,10.157815827528704,346,atlas-or-phoenix-080-30.txt
PHOENIX,8000,3.5,1.9160000085830688,2.4830000400543213,0.48718761343067846,4.723895630758943,346,atlas-or-phoenix-080-35.txt
PHOENIX,8000,4.0,1.2309999465942383,1.8209999799728394,0.40074859854770906,2.146842888444543,346,atlas-or-phoenix-080-40.txt
PHOENIX,8000,4.5,0.8899999856948853,1.6490000486373901,0.2684403926492632,1.4497739179634248,346,atlas-or-phoenix-080-45.txt
PHOENIX,8200,2.0,3.878999948501587,7.078000068664551,2.005322182015356,43.08762268172692,346,atlas-or-phoenix-082-20.txt
PHOENIX,8200,2.5,3.3329999446868896,5.60099983215332,1.6210936960097873,22.98013263884398,346,atlas-or-phoenix-082-25.txt
PHOENIX,8200,3.0,2.5859999656677246,3.50600004196167,0.9298371999040801,9.724169975033567,346,atlas-or-phoenix-082-30.txt
PHOENIX,8200,3.5,1.9320000410079956,2.4839999675750732,0.4919820572079376,4.579863973522229,346,atlas-or-phoenix-082-35.txt
PHOENIX,8200,4.0,1.3619999885559082,1.9570000171661377,0.3974180065984773,2.376033464269485,346,atlas-or-phoenix-082-40.txt
PHOENIX,8200,4.5,0.9459999799728394,1.6990000009536743,0.26510823902196146,1.4718127089816007,346,atlas-or-phoenix-082-45.txt
PHOENIX,8400,2.0,3.9760000705718994,8.657999992370605,2.0887160915708805,45.91152585513642,346,atlas-or-phoenix-084-20.txt
PHOENIX,8400,2.5,3.3389999866485596,5.60099983215332,1.6766099139498833,22.05066466024442,346,atlas-or-phoenix-084-25.txt
PHOENIX,8400,3.0,2.5899999141693115,3.505000114440918,0.9576726697278956,9.309399084033126,346,atlas-or-phoenix-084-30.txt
PHOENIX,8400,3.5,1.9500000476837158,2.484999895095825,0.5005467809413158,4.455759227972198,346,atlas-or-phoenix-084-35.txt
PHOENIX,8400,4.0,1.3639999628067017,1.965000033378601,0.39909513426709,2.269455507036931,346,atlas-or-phoenix-084-40.txt
PHOENIX,8400,4.5,0.9990000128746033,1.7489999532699585,0.27069628744708013,1.4908079423001155,346,atlas-or-phoenix-084-45.txt
PHOENIX,8600,2.0,4.059999942779541,7.945000171661377,2.3897009713444977,48.248446262748665,346,atlas-or-phoenix-086-20.txt
PHOENIX,8600,2.5,3.3450000286102295,5.60099983215332,1.7289292637242546,21.18280046400088,346,atlas-or-phoenix-086-25.txt
PHOENIX,8600,3.0,2.744999885559082,3.8340001106262207,1.0156797381731142,10.616547416552269,346,atlas-or-phoenix-086-30.txt
